N,Site,State,Nest,Tree,DBH,Stage,Ht
1,OLY_E,1,TC,PSME,70,5,7
2,OLY_E,1,TC,PSME,119,2,9
3,OLY_W,1,TC,PSME,162,6,10
4,OLY_E,1,TC,PSME,79,5,11
5,OLY_W,1,TC,TSHE,87,4,12
6,OLY_E,1,PL,PSME,30,2,13
7,OLY_W,1,SC,TSHE,95,4,13
8,OLY_E,1,SC,TSHE,49,2,14
9,OLY_E,1,SC,PSME,63,5,14
10,OLY_E,1,SC,THPL,113,4,15
11,OLY_E,1,TC,PIMO,78,4,15
12,OLY_E,1,TC,PSME,92,5,15
13,OLY_E,1,TC,PSME,68,4,16
14,OLY_E,1,TC,TSHE,104,5,16
15,OLY_E,1,TC,TSHE,41,5,16
16,OLY_W,1,SC,PSME,68,4,18
17,OLY_E,1,SC,PSME,64,4,18
18,OLY_W,1,SC,PSME,146,2,19
19,OLY_W,1,TC,TSHE,59,5,19
20,OLY_W,1,SC,TSHE,83,3,20
21,OLY_W,1,SC,TSHE,60,4,20
22,OLY_E,1,TC,THPL,62,4,21
23,OLY_W,1,SC,TSHE,80,3,22
24,OLY_W,1,SC,TSHE,106,4,22
25,OLY_W,1,SC,PSME,128,6,23
26,OLY_E,1,TC,ABAM,101,2,25
27,OLY_E,1,SC,PSME,50,2,26
28,OLY_E,1,TC,PSME,139,3,26
29,OLY_W,1,SC,THPL,121,4,26
30,OLY_E,1,PL,PSME,63,1,27
31,OLY_E,1,SC,ABAM,100,2,28
32,OLY_E,1,SC,THPL,222,5,28
33,OLY_W,1,SC,TSHE,53,2,29
34,OLY_E,1,TC,PSME,129,3,29
35,OLY_E,1,SC,TSHE,83,3,29
36,OLY_E,1,SC,TSHE,92,1,30
37,OLY_W,1,SC,TSHE,111,4,30
38,OLY_W,1,SC,TSHE,100,5,30
39,OLY_W,1,TC,PSME,122,2,31
40,OLY_E,1,SC,PSME,119,2,32
41,OLY_E,1,PL,TSHE,41,2,32
42,OLY_W,1,TC,TSHE,59,2,33
43,OLY_W,1,SC,TSHE,111,1,34
44,OLY_E,1,PL,PSME,63,1,34
45,OLY_W,1,SC,TSHE,60,2,34
46,OLY_E,1,TC,TSHE,59,2,34
47,OLY_E,1,TC,TSHE,78,3,34
48,OLY_E,1,SC,TSHE,132,4,34
49,OLY_E,1,SC,PSME,128,5,34
50,OLY_E,1,TC,PSME,109,2,35
51,OLY_W,1,TC,PSME,96,2,35
52,OLY_W,1,TC,PSME,90,2,35
53,OLY_E,1,TC,TSHE,89,2,35
54,OLY_W,1,SC,THPL,209,2,36
55,OLY_W,1,TC,PISI,151,2,36
56,OLY_W,1,SC,TSHE,92,2,36
57,OLY_W,1,TC,TSHE,85,2,36
58,OLY_W,1,SC,THPL,155,1,37
59,OLY_E,1,PL,PSME,80,1,37
60,OLY_E,1,PL,TSHE,71,1,37
61,OLY_W,1,SC,TSHE,116,2,37
62,OLY_W,1,SC,TSHE,98,2,37
63,OLY_W,1,SC,TSHE,97,2,37
64,OLY_W,1,SC,THPL,182,4,37
65,OLY_E,1,SC,PSME,165,1,38
66,OLY_E,1,TC,PSME,114,2,38
67,OLY_W,1,SC,TSHE,83,2,38
68,OLY_E,1,SC,PSME,80,2,38
69,OLY_E,1,TC,THPL,196,2,39
70,OLY_W,1,SC,TSHE,163,2,39
71,OLY_W,1,SC,TSHE,102,2,39
72,OLY_E,1,TC,PSME,80,3,39
73,OLY_W,1,PL,ABGR,77,1,40
74,OLY_W,1,SC,THPL,238,2,40
75,OLY_W,1,SC,THPL,170,2,40
76,OLY_W,1,TC,TSHE,115,2,40
77,OLY_W,1,SC,THPL,143,2,41
78,OLY_E,1,TC,PSME,125,2,41
79,OLY_E,1,SC,TSHE,90,2,41
80,OLY_E,1,SC,TSME,195,1,42
81,OLY_E,1,PL,PSME,176,1,42
82,OLY_W,1,SC,TSHE,93,1,42
83,OLY_W,1,SC,THPL,215,2,42
84,OLY_W,1,TC,THPL,203,2,42
85,OLY_W,1,SC,THPL,168,2,42
86,OLY_E,1,TC,THPL,155,2,42
87,OLY_W,1,SC,THPL,134,2,42
88,OLY_E,1,TC,PSME,180,5,42
89,OLY_E,1,TC,PSME,89,3,43
90,OLY_W,1,TC,PSME,204,1,44
91,OLY_W,1,SC,TSHE,105,2,44
92,OLY_E,1,SC,PSME,92,2,44
93,OLY_W,1,PL,TSHE,84,1,45
94,OLY_W,1,SC,THPL,193,2,45
95,OLY_W,1,SC,TSHE,126,2,45
96,OLY_E,1,TC,TSHE,100,2,45
97,OLY_W,1,SC,TSHE,143,3,45
98,OLY_W,1,SC,TSHE,122,1,46
99,OLY_W,1,SC,THPL,240,2,46
100,OLY_E,1,SC,PSME,171,2,46
101,OLY_E,1,TC,PSME,183,3,46
102,OLY_W,1,SC,THPL,300,2,47
103,OLY_W,1,SC,THPL,180,2,47
104,OLY_W,1,SC,THPL,175,2,47
105,OLY_E,1,SC,TSHE,132,2,47
106,OLY_W,1,SC,TSHE,106,2,47
107,OLY_E,1,SC,PSME,98,2,47
108,OLY_E,1,PL,PSME,74,2,47
109,OLY_W,1,SC,THPL,159,3,47
110,OLY_W,1,SC,THPL,278,2,48
111,OLY_W,1,TC,THPL,218,2,48
112,OLY_W,1,TC,THPL,162,2,48
113,OLY_W,1,SC,TSHE,148,2,48
114,OLY_W,1,SC,TSHE,113,2,48
115,OLY_W,1,TC,THPL,108,2,48
116,OLY_W,1,SC,TSHE,101,2,48
117,OLY_W,1,SC,THPL,165,2,49
118,OLY_W,1,TC,TSHE,105,2,49
119,OLY_W,1,SC,TSHE,129,1,50
120,OLY_E,1,PL,ABGR,100,1,50
121,OLY_W,1,SC,THPL,300,2,50
122,OLY_E,1,TC,PSME,174,2,50
123,OLY_E,1,TC,PSME,158,2,50
124,OLY_W,1,SC,TSHE,119,2,50
125,OLY_W,1,TC,TSHE,106,2,50
126,OLY_W,1,SC,THPL,360,2,51
127,OLY_W,1,SC,THPL,189,2,51
128,OLY_W,1,SC,ABAM,133,2,51
129,OLY_W,1,TC,TSHE,125,2,51
130,OLY_W,1,SC,TSHE,120,1,52
131,OLY_W,1,SC,PSME,93,1,52
132,OLY_W,1,SC,THPL,280,2,52
133,OLY_W,1,TC,THPL,215,2,52
134,OLY_E,1,SC,THPL,179,2,52
135,OLY_E,1,TC,PSME,116,2,52
136,OLY_W,1,SC,TSHE,76,2,52
137,OLY_W,1,SC,THPL,379,2,53
138,OLY_W,1,SC,THPL,314,2,53
139,OLY_W,1,SC,THPL,313,2,53
140,OLY_W,1,SC,THPL,285,2,53
141,OLY_W,1,SC,THPL,150,2,53
142,OLY_W,1,SC,TSHE,150,2,53
143,OLY_W,1,SC,TSHE,128,2,53
144,OLY_W,1,SC,THPL,105,2,53
145,OLY_W,1,SC,TSHE,105,2,53
146,OLY_W,1,PL,THPL,198,3,53
147,OLY_W,1,SC,THPL,222,2,54
148,OLY_W,1,TC,PSME,183,2,54
149,OLY_W,1,SC,THPL,98,4,54
150,OLY_E,1,TC,PSME,199,2,55
151,OLY_W,1,SC,TSHE,154,2,55
152,OLY_W,1,TC,PSME,86,2,56
153,OLY_W,1,SC,THPL,272,2,57
154,OLY_W,1,SC,TSHE,141,1,58
155,OLY_W,1,SC,THPL,320,2,58
156,OLY_W,1,SC,THPL,300,2,58
157,OLY_W,1,SC,PSME,233,2,59
158,OLY_W,1,SC,THPL,205,2,59
159,OLY_W,1,PL,PSME,175,1,60
160,OLY_W,1,SC,THPL,267,2,61
161,OLY_W,1,SC,THPL,160,2,61
162,OLY_W,1,TC,THPL,232,1,65
163,OLY_W,1,SC,TSHE,112,1,65
164,OLY_W,1,SC,THPL,268,2,67
165,OLY_W,1,TC,PSME,136,2,68
166,OLY_W,1,SC,PSME,140,2,74
167,CLE,1,PL,PSME,62,NA,41
168,CLE,1,PL,PSME,29,NA,22
169,CLE,1,PL,PSME,74,NA,46
170,CLE,1,PL,PSME,89,NA,35
171,CLE,1,PL,PSME,67,NA,41
172,CLE,1,PL,PSME,86,NA,34
173,CLE,1,PL,PSME,83,NA,34
174,CLE,1,PL,PSME,75,NA,41
175,CLE,1,PL,PSME,51,NA,30
176,CLE,1,PL,PSME,73,NA,38
177,CLE,1,PL,PSME,90,NA,31
178,CLE,1,PL,PSME,55,NA,22
179,CLE,1,TC,PSME,122,NA,23
180,CLE,1,PL,PSME,29,NA,24
181,CLE,1,PL,PSME,58,NA,33
182,CLE,1,PL,PSME,38,NA,24
183,CLE,1,PL,PSME,39,NA,24
184,CLE,1,PL,PSME,42,NA,24
185,CLE,1,PL,PSME,46,NA,30
186,CLE,1,TC,PSME,173,NA,48
187,CLE,1,TC,PSME,163,NA,30
188,CLE,1,SC,TSHE,138,NA,30
189,CLE,1,PL,TSHE,85,NA,43
190,CLE,1,PL,PSME,86,NA,27
191,CLE,1,SC,THPL,145,NA,32
192,CLE,1,PL,TSHE,48,NA,27
193,CLE,1,PL,PSME,75,NA,23
194,CLE,1,PL,PSME,42,NA,30
195,CLE,1,PL,PSME,29,NA,17
196,CLE,1,PL,PSME,80,NA,39
197,CLE,1,PL,PSME,56,NA,36
198,CLE,1,PL,PSME,72,NA,40
199,CLE,1,PL,PSME,70,NA,45
200,CLE,1,PL,PSME,58,NA,37
201,CLE,1,PL,PSME,50,NA,29
202,CLE,1,PL,PSME,73,NA,43
203,CLE,1,PL,PSME,83,NA,30
204,CLE,1,PL,PSME,36,NA,25
205,CLE,1,PL,PSME,47,NA,27
206,CLE,1,PL,PSME,62,NA,30
207,CLE,1,SC,TSHE,125,NA,33
208,CLE,1,TC,THPL,150,NA,33
209,CLE,1,SC,PSME,141,NA,36
210,CLE,1,SC,TSHE,102,NA,27
211,CLE,1,PL,PSME,91,NA,23
212,CLE,1,PL,PSME,58,NA,35
213,CLE,1,PL,PSME,58,NA,38
214,CLE,1,PL,PSME,103,NA,48
215,CLE,1,PL,PSME,55,NA,30
216,CLE,1,PL,PSME,46,NA,35
217,CLE,1,SC,PSME,115,NA,29
218,CLE,1,PL,PSME,60,NA,33
219,CLE,1,PL,PSME,90,NA,32
220,CLE,1,SC,PSME,95,NA,30
221,CLE,1,PL,PSME,72,NA,29
222,CLE,1,PL,PSME,67,NA,29
223,CLE,1,PL,PSME,21,NA,19
224,CLE,1,TC,PSME,92,NA,21
225,CLE,1,PL,PSME,51,NA,38
226,CLE,1,PL,PSME,62,NA,36
227,CLE,1,PL,ABGR,54,NA,32
228,CLE,1,PL,PSME,70,NA,38
229,CLE,1,PL,PSME,62,NA,39
230,CLE,1,PL,PSME,74,NA,42
231,CLE,1,PL,PSME,49,NA,36
232,CLE,1,PL,PSME,54,NA,31
233,CLE,1,PL,PSME,56,NA,37
234,CLE,1,PL,PSME,54,NA,30
235,CLE,1,PL,PSME,90,NA,47
236,CLE,1,PL,PSME,67,NA,45
237,CLE,1,PL,PSME,41,NA,30
238,CLE,1,PL,PSME,35,NA,24
239,CLE,1,PL,PSME,77,NA,38
240,CLE,1,PL,PSME,60,NA,25
241,CLE,1,PL,PSME,68,NA,40
242,CLE,1,PL,PSME,38,NA,29
243,CLE,1,PL,PSME,47,NA,30
244,CLE,1,PL,PSME,60,NA,35
245,CLE,1,PL,PSME,58,NA,33
246,CLE,1,PL,PSME,59,NA,33
247,CLE,1,PL,ABGR,52,NA,28
248,CLE,1,PL,PSME,48,NA,33
249,CLE,1,PL,PSME,33,NA,32
250,CLE,1,PL,PSME,71,NA,41
251,CLE,1,PL,PSME,66,NA,27
252,CLE,1,PL,PSME,29,NA,22
253,CLE,1,PL,PSME,39,NA,29
254,CLE,1,PL,PSME,35,NA,31
255,CLE,1,PL,PSME,37,NA,23
256,CLE,1,PL,PSME,61,NA,38
257,CLE,1,PL,PSME,100,NA,36
258,CLE,1,PL,PSME,56,NA,24
259,CLE,1,PL,PSME,52,NA,27
260,CLE,1,PL,PSME,97,NA,36
261,CLE,1,PL,PIPO,54,NA,32
262,CLE,1,PL,PSME,50,NA,28
263,CLE,1,PL,PSME,43,NA,25
264,CLE,1,PL,PSME,54,NA,32
265,CLE,1,PL,PSME,87,NA,47
266,CLE,1,PL,PSME,42,NA,24
267,CLE,1,TC,PSME,91,NA,14
268,CLE,1,PL,PSME,66,NA,33
269,CLE,1,PL,PSME,31,NA,27
270,CLE,1,PL,PSME,82,NA,29
271,CLE,1,PL,PSME,61,NA,32
272,CLE,1,PL,PSME,58,NA,30
273,CLE,1,PL,PSME,56,NA,34
274,CLE,1,PL,PSME,48,NA,32
275,CLE,1,PL,ABGR,49,NA,35
276,CLE,1,PL,PSME,31,NA,23
277,CLE,1,PL,PSME,71,NA,30
278,CLE,1,PL,PSME,51,NA,27
279,CLE,1,PL,PSME,29,NA,19
280,CLE,1,PL,PSME,83,NA,28
281,CLE,1,PL,PSME,50,NA,30
282,CLE,1,PL,PSME,41,NA,34
283,CLE,1,PL,PSME,34,NA,25
284,CLE,1,PL,PSME,83,NA,40
285,CLE,1,PL,PSME,56,NA,25
286,CLE,1,PL,PSME,35,NA,24
287,CLE,1,PL,PSME,64,NA,31
288,CLE,1,PL,PSME,59,NA,34
289,CLE,1,PL,ABGR,82,NA,34
290,CLE,1,PL,PSME,75,NA,41
291,CLE,1,PL,PSME,48,NA,28
292,CLE,1,PL,PSME,54,NA,31
293,CLE,1,PL,PSME,58,NA,36
294,CLE,1,PL,PSME,49,NA,37
295,CLE,1,PL,PSME,51,NA,32
296,CLE,1,PL,PSME,50,NA,30
297,CLE,1,PL,PSME,96,NA,32
298,CLE,1,PL,PSME,82,NA,38
299,CLE,1,PL,PSME,21,NA,29
300,CLE,1,PL,PSME,51,NA,39
301,CLE,1,PL,PSME,24,NA,23
302,CLE,1,PL,PSME,68,NA,40
303,CLE,1,PL,PSME,73,NA,23
304,CLE,1,PL,PSME,67,NA,40
305,CLE,1,PL,PSME,72,NA,35
306,CLE,1,PL,PSME,68,NA,35
307,CLE,1,PL,PSME,68,NA,46
308,CLE,1,PL,PSME,73,NA,33
309,CLE,1,PL,PSME,45,NA,27
310,CLE,1,PL,PSME,56,NA,24
311,CLE,1,PL,PSME,56,NA,32
312,CLE,1,PL,PSME,42,NA,28
313,CLE,1,PL,PSME,39,NA,39
314,CLE,1,PL,PSME,40,NA,24
315,CLE,1,PL,PSME,36,NA,29
316,CLE,1,PL,PSME,49,NA,33
317,CLE,1,PL,PSME,54,NA,31
318,CLE,1,PL,PSME,59,NA,34
319,CLE,1,PL,PSME,46,NA,39
320,CLE,1,PL,PSME,99,NA,28
321,CLE,1,PL,LAOC,34,NA,31
322,CLE,1,PL,PSME,72,NA,32
323,CLE,1,PL,PSME,62,NA,30
324,CLE,1,TC,PSME,94,NA,8
325,CLE,1,PL,PSME,41,NA,30
326,CLE,1,TC,PIPO,67,NA,36
327,CLE,1,PL,PSME,76,NA,39
328,CLE,1,PL,PSME,59,NA,27
329,CLE,1,PL,PSME,81,NA,35
330,CLE,1,PL,PSME,87,NA,33
331,CLE,1,PL,PSME,59,NA,34
332,CLE,1,PL,PSME,49,NA,37
333,CLE,1,PL,PSME,47,NA,30
334,CLE,1,PL,PSME,31,NA,25
335,CLE,1,PL,PSME,65,NA,33
336,CLE,1,PL,PSME,42,NA,25
337,CLE,1,PL,PSME,64,NA,48
338,CLE,1,PL,PSME,33,NA,29
339,CLE,1,PL,PSME,71,NA,41
340,CLE,1,PL,PSME,57,NA,36
341,CLE,1,PL,PSME,58,NA,34
342,CLE,1,PL,PSME,45,NA,32
343,CLE,1,PL,PSME,37,NA,31
344,CLE,1,SC,THPL,99,NA,25
345,CLE,1,PL,PSME,81,NA,35
346,CLE,1,PL,PSME,103,NA,40
347,CLE,1,PL,PSME,37,NA,35
348,CLE,1,PL,PSME,57,NA,28
349,COA,2,TC,PSME,142,2,44
350,COA,2,TC,PSME,163,3,13
351,COA,2,SC,PSME,130,2,30
352,COA,2,TC,PSME,120,2,24
353,COA,2,TC,PSME,168,2,61
354,COA,2,TC,PSME,197,2,54
355,COA,2,TC,PSME,190,2,62
356,COA,2,TC,PSME,177,2,60
357,COA,2,SC,THPL,152,2,25
358,COA,2,TC,PSME,132,2,53
359,COA,2,TC,PSME,179,2,64
360,COA,2,TC,PSME,189,2,65
361,COA,2,TC,PSME,137,2,44
362,COA,2,TC,PSME,138,2,27
363,COA,2,TC,PSME,131,2,41
364,COA,2,TC,PSME,132,2,33
365,COA,2,TC,PSME,107,2,28
366,COA,2,TC,PSME,149,2,52
367,COA,2,TC,PSME,121,2,42
368,COA,2,TC,PSME,196,2,59
369,COA,2,TC,PSME,109,2,45
370,COA,2,TC,PSME,180,2,37
371,COA,2,TC,PSME,136,2,44
372,COA,2,TC,PSME,171,2,57
373,COA,2,TC,PSME,135,2,42
374,COA,2,TC,PSME,94,2,37
375,COA,2,TC,PSME,142,2,53
376,COA,2,TC,PSME,135,2,24
377,COA,2,SC,TSHE,83,2,39
378,COA,2,SC,THPL,168,1,40
379,COA,2,TC,PSME,151,2,54
380,COA,2,TC,PSME,127,2,44
381,COA,2,TC,PSME,213,2,47
382,COA,2,SC,PSME,122,2,36
383,COA,2,TC,PSME,148,2,25
384,COA,2,TC,PSME,91,2,54
385,COA,2,TC,PSME,102,2,38
386,COA,2,TC,PSME,188,2,40
387,COA,2,TC,PSME,137,2,52
388,COA,2,TC,PSME,144,2,38
389,COA,2,PL,PSME,149,1,52
390,COA,2,SC,PSME,88,6,27
391,COA,2,TC,PSME,143,2,58
392,COA,2,TC,PSME,117,2,46
393,COA,2,TC,PSME,150,2,47
394,COA,2,TC,PSME,171,2,50
395,COA,2,TC,PSME,113,2,40
396,COA,2,SC,PSME,188,2,40
397,COA,2,TC,PSME,109,2,42
398,COA,2,TC,PSME,142,2,45
399,COA,2,TC,PSME,99,2,23
400,COA,2,TC,PSME,153,2,40
401,COA,2,TC,PSME,170,2,51
402,COA,2,TC,PSME,130,2,33
403,COA,2,TC,PSME,159,2,35
404,COA,2,SC,PSME,93,1,56
405,COA,2,TC,PSME,109,2,43
406,COA,2,TC,PSME,180,6,13
407,COA,2,TC,PSME,145,2,33
408,COA,2,SC,PSME,118,2,37
409,COA,2,TC,PSME,161,1,52
410,COA,2,SC,THPL,151,2,46
411,COA,2,SC,PSME,170,2,34
412,COA,2,TC,PSME,155,2,18
413,COA,2,SC,PSME,183,2,33
414,COA,2,SC,PSME,181,2,56
415,COA,2,TC,PSME,193,2,47
416,COA,2,SC,PSME,167,1,56
417,COA,2,TC,PSME,111,2,34
418,COA,2,SC,PSME,144,2,42
419,COA,2,TC,PSME,163,2,42
420,COA,2,SC,PSME,123,2,26
421,COA,2,SC,PSME,130,1,52
422,COA,2,TC,PSME,155,2,37
423,COA,2,TC,PSME,138,2,36
424,COA,2,TC,PSME,170,2,66
425,COA,2,SC,PSME,147,2,38
426,COA,2,TC,PSME,88,2,38
427,COA,2,TC,THPL,142,2,40
428,COA,2,TC,PSME,135,2,55
429,COA,2,SC,PSME,107,2,20
430,COA,2,TC,PSME,115,2,48
431,COA,2,TC,PSME,180,2,60
432,COA,2,TC,PSME,146,6,13
433,COA,2,TC,PSME,148,2,32
434,COA,2,SC,PSME,145,2,40
435,COA,2,SC,PSME,109,7,20
436,COA,2,TC,PSME,166,6,22
437,COA,2,TC,PSME,115,2,27
438,COA,2,TC,THPL,118,6,17
439,COA,2,SC,PSME,61,4,16
440,COA,2,SC,PSME,106,4,19
441,COA,2,TC,ACMA,104,2,39
442,COA,2,TC,PSME,156,2,49
443,COA,2,TC,PSME,110,2,26
444,COA,2,PL,PSME,192,2,64
445,COA,2,TC,PSME,154,2,52
446,COA,2,TC,PSME,160,2,56
447,COA,2,PL,PSME,140,1,70
448,COA,2,TC,PSME,187,2,44
449,COA,2,TC,PSME,107,2,49
450,COA,2,TC,PSME,181,2,53
451,COA,2,TC,PSME,109,2,37
452,COA,2,TC,PSME,188,2,65
453,COA,2,TC,PSME,213,2,52
454,COA,2,TC,PSME,142,2,48
455,COA,2,PL,PSME,131,1,42
456,COA,2,SC,ACMA,85,1,29
457,COA,2,SC,PSME,105,7,19
458,COA,2,SC,PSME,107,4,24
459,COA,2,TC,PSME,155,2,28
460,COA,2,TC,PSME,168,2,35
461,COA,2,TC,ACMA,102,2,26
462,COA,2,TC,PSME,104,6,22
463,COA,2,TC,PSME,102,7,18
464,COA,2,TC,PSME,164,1,55
465,COA,2,TC,PSME,147,2,55
466,COA,2,SC,THPL,96,6,16
467,COA,2,TC,PSME,141,2,43
468,COA,2,SC,PSME,163,1,50
469,COA,2,TC,PSME,186,2,64
470,COA,2,TC,PSME,122,2,32
471,COA,2,TC,THPL,124,2,39
472,COA,2,TC,PSME,147,2,37
473,COA,2,TC,PSME,114,2,39
474,COA,2,TC,PSME,182,2,44
475,COA,2,PL,PSME,79,1,39
476,COA,2,TC,PSME,160,2,46
477,COA,2,TC,PSME,62,2,6
478,COA,2,TC,PSME,146,2,33
479,COA,2,TC,PSME,133,2,47
480,COA,2,TC,PSME,164,3,28
481,COA,2,SC,THPL,147,6,18
482,COA,2,SC,PSME,139,6,41
483,COA,2,TC,PSME,122,2,38
484,COA,2,PL,CADE,48,1,28
485,COA,2,TC,PSME,127,2,29
486,COA,2,PL,PSME,98,2,34
487,COA,2,TC,PSME,110,2,42
488,COA,2,TC,PSME,109,2,24
489,COA,2,PL,PSME,109,1,45
490,COA,2,SC,PSME,145,2,52
491,COA,2,TC,PSME,127,2,38
492,COA,2,PL,PSME,141,1,29
493,COA,2,SC,PSME,187,2,56
494,COA,2,TC,PSME,142,2,12
495,COA,2,TC,PSME,175,2,44
496,COA,2,PL,ABGR,93,1,37
497,COA,2,SC,TSHE,114,3,44
498,COA,2,TC,PSME,120,2,47
499,COA,2,TC,PSME,164,2,42
500,COA,2,PL,PSME,216,1,30
501,COA,2,PL,PSME,140,1,50
502,COA,2,TC,PSME,182,2,44
503,COA,2,TC,PSME,106,2,45
504,COA,2,TC,PSME,109,2,42
505,COA,2,TC,PSME,124,2,26
506,COA,2,TC,PSME,105,2,19
507,COA,2,SC,THPL,89,6,17
508,COA,2,TC,UNKN,114,6,14
509,COA,2,TC,PSME,141,2,41
510,COA,2,TC,PSME,172,2,50
511,COA,2,SC,ARME,67,2,20
512,COA,2,TC,THPL,168,2,47
513,COA,2,TC,PSME,142,2,33
514,COA,2,TC,PSME,155,2,47
515,COA,2,TC,PSME,104,2,30
516,COA,2,TC,PSME,150,2,34
517,COA,2,TC,PSME,161,2,51
518,COA,2,SC,PSME,202,2,58
519,COA,2,TC,PSME,134,2,52
520,COA,2,TC,PSME,143,2,56
521,COA,2,TC,PSME,130,2,34
522,COA,2,TC,PSME,142,2,43
523,COA,2,TC,PSME,171,2,54
524,COA,2,SC,PSME,96,6,12
525,COA,2,TC,PSME,161,2,37
526,COA,2,TC,PSME,110,2,31
527,COA,2,TC,PSME,144,2,44
528,COA,2,SC,PSME,159,3,34
529,COA,2,TC,PSME,109,2,35
530,COA,2,TC,PSME,114,2,25
531,COA,2,TC,PSME,154,2,47
532,COA,2,TC,PSME,159,2,44
533,COA,2,PL,PSME,183,2,45
534,COA,2,TC,PSME,127,2,28
535,COA,2,SC,THPL,107,2,41
536,COA,2,TC,PSME,106,2,32
537,COA,2,SC,PSME,138,3,38
538,COA,2,TC,PSME,180,2,30
539,COA,2,SC,PSME,144,2,31
540,COA,2,TC,PSME,132,2,48
541,COA,2,SC,PSME,136,2,45
542,COA,2,TC,PSME,168,2,48
543,COA,2,SC,THPL,130,2,44
544,COA,2,TC,PSME,129,2,48
545,COA,2,SC,PSME,135,2,35
546,COA,2,TC,PSME,147,2,37
547,COA,2,TC,PSME,137,2,32
548,COA,2,PL,THPL,116,1,49
549,COA,2,SC,PSME,189,2,56
550,COA,2,SC,PSME,157,6,30
551,COA,2,TC,PSME,157,2,48
552,COA,2,TC,PSME,125,6,13
553,COA,2,TC,PSME,175,2,46
554,COA,2,TC,PSME,115,2,40
555,COA,2,TC,PSME,154,2,47
556,COA,2,SC,PSME,147,1,60
557,COA,2,SC,PSME,120,7,8
558,COA,2,TC,PSME,144,2,44
559,COA,2,TC,THPL,244,2,45
560,COA,2,SC,PSME,170,2,36
561,COA,2,TC,PSME,123,2,48
562,COA,2,TC,PSME,183,2,48
563,COA,2,TC,PSME,147,2,36
564,COA,2,TC,PSME,139,2,41
565,COA,2,TC,PSME,122,2,29
566,COA,2,SC,PSME,95,7,9
567,COA,2,TC,PSME,120,2,50
568,COA,2,TC,PSME,103,2,38
569,COA,2,PL,PSME,190,1,73
570,COA,2,TC,PSME,150,2,49
571,COA,2,TC,PSME,141,2,35
572,COA,2,TC,PSME,175,2,35
573,COA,2,TC,PSME,113,2,44
