Site,Nest,DBH,Ht
OLY_E,TC,119,9
OLY_W,SC,146,19
OLY_W,TC,122,31
OLY_E,SC,119,32
OLY_E,TC,109,35
OLY_W,TC,96,35
OLY_W,TC,90,35
OLY_E,PL,80,37
OLY_E,SC,165,38
OLY_E,TC,114,38
OLY_E,SC,80,38
OLY_E,TC,125,41
OLY_E,PL,176,42
OLY_W,TC,204,44
OLY_E,SC,92,44
OLY_E,SC,171,46
OLY_E,SC,98,47
OLY_E,TC,174,50
OLY_E,TC,158,50
OLY_W,SC,93,52
OLY_E,TC,116,52
OLY_W,TC,183,54
OLY_E,TC,199,55
OLY_W,TC,86,56
OLY_W,SC,233,59
OLY_W,PL,175,60
OLY_W,TC,136,68
OLY_W,SC,140,74
COA,TC,142,44
COA,SC,130,30
COA,TC,120,24
COA,TC,168,61
COA,TC,197,54
COA,TC,190,62
COA,TC,177,60
COA,TC,132,53
COA,TC,179,64
COA,TC,189,65
COA,TC,137,44
COA,TC,138,27
COA,TC,131,41
COA,TC,132,33
COA,TC,107,28
COA,TC,149,52
COA,TC,121,42
COA,TC,196,59
COA,TC,109,45
COA,TC,180,37
COA,TC,136,44
COA,TC,171,57
COA,TC,135,42
COA,TC,94,37
COA,TC,142,53
COA,TC,135,24
COA,TC,151,54
COA,TC,127,44
COA,TC,213,47
COA,SC,122,36
COA,TC,148,25
COA,TC,91,54
COA,TC,102,38
COA,TC,188,40
COA,TC,137,52
COA,TC,144,38
COA,PL,149,52
COA,TC,143,58
COA,TC,117,46
COA,TC,150,47
COA,TC,171,50
COA,TC,113,40
COA,SC,188,40
COA,TC,109,42
COA,TC,142,45
COA,TC,99,23
COA,TC,153,40
COA,TC,170,51
COA,TC,130,33
COA,TC,159,35
COA,SC,93,56
COA,TC,109,43
COA,TC,145,33
COA,SC,118,37
COA,TC,161,52
COA,SC,170,34
COA,TC,155,18
COA,SC,183,33
COA,SC,181,56
COA,TC,193,47
COA,SC,167,56
COA,TC,111,34
COA,SC,144,42
COA,TC,163,42
COA,SC,123,26
COA,SC,130,52
COA,TC,155,37
COA,TC,138,36
COA,TC,170,66
COA,SC,147,38
COA,TC,88,38
COA,TC,135,55
COA,SC,107,20
COA,TC,115,48
COA,TC,180,60
COA,TC,148,32
COA,SC,145,40
COA,TC,115,27
COA,TC,156,49
COA,TC,110,26
COA,PL,192,64
COA,TC,154,52
COA,TC,160,56
COA,PL,140,70
COA,TC,187,44
COA,TC,107,49
COA,TC,181,53
COA,TC,109,37
COA,TC,188,65
COA,TC,213,52
COA,TC,142,48
COA,PL,131,42
COA,TC,155,28
COA,TC,168,35
COA,TC,164,55
COA,TC,147,55
COA,TC,141,43
COA,SC,163,50
COA,TC,186,64
COA,TC,122,32
COA,TC,147,37
COA,TC,114,39
COA,TC,182,44
COA,PL,79,39
COA,TC,160,46
COA,TC,146,33
COA,TC,133,47
COA,TC,122,38
COA,TC,127,29
COA,PL,98,34
COA,TC,110,42
COA,TC,109,24
COA,PL,109,45
COA,SC,145,52
COA,TC,127,38
COA,PL,141,29
COA,SC,187,56
COA,TC,142,12
COA,TC,175,44
COA,TC,120,47
COA,TC,164,42
COA,PL,216,30
COA,PL,140,50
COA,TC,182,44
COA,TC,106,45
COA,TC,109,42
COA,TC,124,26
COA,TC,105,19
COA,TC,141,41
COA,TC,172,50
COA,TC,142,33
COA,TC,155,47
COA,TC,104,30
COA,TC,150,34
COA,TC,161,51
COA,SC,202,58
COA,TC,134,52
COA,TC,143,56
COA,TC,130,34
COA,TC,142,43
COA,TC,171,54
COA,TC,161,37
COA,TC,110,31
COA,TC,144,44
COA,TC,109,35
COA,TC,114,25
COA,TC,154,47
COA,TC,159,44
COA,PL,183,45
COA,TC,127,28
COA,TC,106,32
COA,TC,180,30
COA,SC,144,31
COA,TC,132,48
COA,SC,136,45
COA,TC,168,48
COA,TC,129,48
COA,SC,135,35
COA,TC,147,37
COA,TC,137,32
COA,SC,189,56
COA,TC,157,48
COA,TC,175,46
COA,TC,115,40
COA,TC,154,47
COA,SC,147,60
COA,TC,144,44
COA,SC,170,36
COA,TC,123,48
COA,TC,183,48
COA,TC,147,36
COA,TC,139,41
COA,TC,122,29
COA,TC,120,50
COA,TC,103,38
COA,PL,190,73
COA,TC,150,49
COA,TC,141,35
COA,TC,175,35
COA,TC,113,44
COA,TC,152,61
COA,TC,112,35
COA,PL,138,37
COA,TC,122,40
COA,TC,178,55
COA,TC,191,60
COA,SC,130,40
COA,TC,167,42
COA,TC,140,23
COA,TC,132,19
COA,TC,130,29
COA,TC,108,26
COA,PL,127,47
COA,SC,83,39
COA,TC,135,46
COA,TC,152,40
COA,TC,95,28
COA,TC,122,34
COA,SC,164,70
COA,TC,157,45
COA,TC,147,58
COA,TC,190,48
COA,TC,137,49
COA,TC,120,47
COA,TC,159,49
COA,SC,155,46
COA,TC,123,39
COA,PL,83,43
COA,TC,177,49
COA,TC,94,29
COA,TC,97,20
COA,TC,89,33
COA,TC,141,21
COA,TC,137,35
COA,TC,164,45
COA,TC,137,39
COA,PL,87,48
COA,TC,115,26
COA,TC,130,48
COA,PL,166,48
COA,TC,152,34
COA,SC,198,54
COA,TC,219,38
COA,TC,79,22
COA,TC,126,34
COA,TC,180,45
COA,TC,181,48
COA,TC,153,44
COA,TC,180,53
COA,TC,155,57
COA,TC,126,52
COA,PL,80,36
COA,TC,107,35
COA,TC,117,42
COA,TC,190,56
COA,SC,124,43
COA,TC,134,54
COA,TC,113,37
COA,TC,139,38
COA,TC,136,32
COA,TC,120,55
COA,TC,101,37
COA,TC,141,25
COA,TC,145,30
COA,TC,148,46
COA,TC,107,35
COA,TC,137,22
COA,TC,173,40
COA,TC,108,49
COA,TC,185,59
COA,SC,203,69
COA,TC,158,54
COA,TC,161,50
COA,TC,156,46
COA,TC,194,48
COA,PL,175,66
COA,SC,152,48
COA,TC,142,28
COA,TC,183,47
COA,TC,145,33
COA,TC,197,53
COA,PL,111,47
COA,TC,168,53
COA,TC,114,31
COA,TC,142,40
COA,TC,149,50
COA,SC,142,59
COA,PL,85,44
COA,TC,127,38
COA,TC,143,44
COA,TC,170,54
COA,TC,165,36
COA,TC,86,16
COA,TC,119,27
COA,TC,109,21
COA,TC,97,46
COA,TC,101,41
COA,TC,120,49
COA,TC,235,58
COA,PL,186,58
COA,TC,115,42
COA,TC,163,47
COA,TC,225,48
COA,TC,113,47
COA,TC,209,56
COA,TC,225,64
COA,TC,200,55
COA,TC,212,48
COA,TC,206,59
COA,TC,143,53
COA,TC,238,49
COA,TC,235,58
COA,PL,151,37
COA,TC,173,47
COA,TC,194,58
COA,TC,179,45
COA,PL,90,52
COA,TC,211,63
COA,TC,161,65
COA,TC,167,53
COA,TC,214,61
COA,TC,136,56
COA,TC,170,61
COA,SC,176,40
COA,TC,124,46
COA,TC,138,64
COA,TC,171,64
COA,TC,141,53
COA,TC,156,50
COA,TC,164,54
COA,TC,248,54
COA,TC,161,42
COA,SC,186,60
COA,TC,140,56
COA,TC,172,47
COA,TC,179,76
COA,TC,194,60
COA,TC,206,27
COA,SC,183,53
COA,TC,172,45
COA,TC,130,57
COA,TC,154,49
COA,SC,161,55
COA,TC,233,63
COA,TC,152,54
COA,TC,146,53
COA,SC,196,48
COA,TC,135,44
COA,TC,145,50
COA,TC,212,63
COA,SC,166,56
COA,TC,172,58
COA,SC,169,49
COA,SC,201,46
COA,TC,179,60
COA,TC,102,22
COA,TC,169,45
COA,SC,167,45
COA,SC,154,38
KLA,SC,152,18
KLA,SC,142,18
KLA,TC,107,22
KLA,PL,76,23
KLA,PL,73,23
KLA,PL,107,24
KLA,TC,130,25
KLA,PL,72,25
KLA,TC,157,25
KLA,TC,146,26
KLA,TC,122,26
KLA,SC,122,26
KLA,TC,173,26
KLA,TC,109,27
KLA,TC,100,29
KLA,SC,137,29
KLA,TC,165,30
KLA,PL,95,30
KLA,TC,162,30
KLA,PL,86,30
KLA,SC,99,30
KLA,SC,135,30
KLA,TC,130,30
KLA,TC,132,30
KLA,SC,112,30
KLA,SC,147,30
KLA,PL,89,31
KLA,SC,84,31
KLA,TC,87,31
KLA,TC,129,32
KLA,SC,122,32
KLA,PL,79,33
KLA,PL,107,34
KLA,TC,122,34
KLA,TC,112,34
KLA,TC,157,34
KLA,TC,145,34
KLA,PL,152,34
KLA,SC,109,34
KLA,PL,128,34
KLA,PL,86,35
KLA,TC,116,35
KLA,PL,97,36
KLA,PL,89,36
KLA,PL,89,36
KLA,PL,97,36
KLA,PL,81,36
KLA,PL,100,36
KLA,PL,119,37
KLA,PL,140,37
KLA,TC,103,37
KLA,PL,91,37
KLA,TC,114,37
KLA,PL,117,37
KLA,TC,132,37
KLA,PL,99,37
KLA,TC,191,37
KLA,TC,138,38
KLA,TC,122,38
KLA,TC,114,39
KLA,PL,86,39
KLA,PL,106,40
KLA,PL,81,40
KLA,PL,87,40
KLA,PL,109,40
KLA,PL,100,40
KLA,TC,124,40
KLA,TC,122,40
KLA,PL,79,40
KLA,TC,165,40
KLA,TC,90,40
KLA,TC,119,40
KLA,SC,94,40
KLA,PL,103,40
KLA,TC,154,41
KLA,PL,117,41
KLA,PL,127,41
KLA,PL,140,41
KLA,PL,107,42
KLA,PL,104,42
KLA,PL,94,42
KLA,PL,109,42
KLA,TC,102,43
KLA,TC,137,43
KLA,PL,76,43
KLA,SC,132,43
KLA,PL,102,43
KLA,TC,152,43
KLA,PL,117,43
KLA,TC,116,43
KLA,PL,93,44
KLA,TC,99,44
KLA,PL,130,44
KLA,PL,124,44
KLA,PL,84,44
KLA,PL,137,44
KLA,TC,141,44
KLA,PL,117,45
KLA,PL,98,45
KLA,TC,130,46
KLA,PL,104,46
KLA,PL,117,46
KLA,PL,114,46
KLA,PL,135,46
KLA,PL,122,46
KLA,PL,152,46
KLA,TC,132,46
KLA,PL,155,46
KLA,PL,147,46
KLA,PL,127,46
KLA,PL,132,46
KLA,PL,109,46
KLA,PL,104,47
KLA,PL,104,47
KLA,TC,109,47
KLA,SC,145,48
KLA,PL,100,49
KLA,TC,137,49
KLA,PL,114,49
KLA,PL,155,49
KLA,PL,150,49
KLA,SC,127,49
KLA,SC,117,49
KLA,PL,117,50
KLA,PL,124,50
KLA,PL,93,50
KLA,PL,157,51
KLA,PL,165,52
KLA,PL,114,52
KLA,SC,141,52
KLA,PL,137,52
KLA,PL,122,53
KLA,PL,124,53
KLA,PL,142,53
KLA,PL,132,54
KLA,PL,170,55
KLA,PL,137,55
KLA,PL,127,55
KLA,PL,132,55
KLA,PL,122,55
KLA,PL,169,56
KLA,PL,97,56
KLA,TC,226,58
KLA,SC,145,60
KLA,PL,127,61
KLA,PL,144,61
KLA,PL,139,61
KLA,PL,126,62
KLA,PL,135,65
KLA,PL,140,65
KLA,TC,135,16
KLA,TC,76,19
KLA,SC,94,21
KLA,TC,180,21
KLA,TC,105,22
KLA,TC,114,23
KLA,TC,84,24
KLA,TC,113,24
KLA,SC,98,24
KLA,TC,122,25
KLA,TC,124,25
KLA,TC,160,25
KLA,TC,120,26
KLA,TC,112,26
KLA,TC,94,27
KLA,TC,76,27
KLA,TC,93,28
KLA,TC,94,28
KLA,TC,91,29
KLA,SC,127,29
KLA,TC,100,29
KLA,TC,147,29
KLA,SC,147,29
KLA,TC,112,29
KLA,TC,117,30
KLA,TC,109,30
KLA,TC,127,30
KLA,TC,100,30
KLA,TC,135,30
KLA,TC,89,31
KLA,TC,97,31
KLA,TC,119,31
KLA,TC,93,31
KLA,PL,110,31
KLA,TC,107,31
KLA,PL,142,31
KLA,TC,117,32
KLA,TC,170,32
KLA,TC,122,32
KLA,TC,130,32
KLA,TC,136,32
KLA,TC,130,32
KLA,PL,132,32
KLA,TC,121,32
KLA,TC,89,32
KLA,TC,102,32
KLA,TC,91,33
KLA,TC,100,33
KLA,TC,122,33
KLA,TC,79,33
KLA,TC,124,33
KLA,TC,142,34
KLA,TC,152,34
KLA,TC,76,34
KLA,TC,130,34
KLA,TC,104,34
KLA,TC,124,34
KLA,TC,137,34
KLA,TC,102,34
KLA,SC,104,34
KLA,TC,140,34
KLA,TC,117,35
KLA,TC,114,35
KLA,TC,139,35
KLA,TC,114,35
KLA,TC,117,35
KLA,TC,132,35
KLA,TC,102,35
KLA,TC,130,36
KLA,TC,119,36
KLA,TC,122,36
KLA,TC,124,36
KLA,PL,94,36
KLA,TC,98,36
KLA,TC,117,36
KLA,TC,117,36
KLA,TC,109,37
KLA,TC,150,37
KLA,TC,179,37
KLA,TC,173,37
KLA,PL,179,37
KLA,TC,131,37
KLA,TC,100,38
KLA,TC,129,38
KLA,TC,158,38
KLA,TC,119,38
KLA,TC,84,38
KLA,TC,117,38
KLA,SC,174,38
KLA,TC,165,38
KLA,TC,124,39
KLA,TC,117,39
KLA,TC,160,39
KLA,TC,109,39
KLA,TC,136,39
KLA,TC,137,39
KLA,TC,145,39
KLA,TC,94,39
KLA,TC,165,39
KLA,TC,112,40
KLA,SC,115,40
KLA,TC,144,40
KLA,TC,109,40
KLA,TC,119,40
KLA,PL,123,40
KLA,TC,170,41
KLA,TC,132,41
KLA,TC,150,41
KLA,TC,119,41
KLA,TC,155,41
KLA,TC,170,41
KLA,TC,79,41
KLA,TC,114,41
KLA,TC,142,41
KLA,TC,145,41
KLA,TC,135,42
KLA,PL,133,42
KLA,TC,135,43
KLA,TC,113,43
KLA,TC,150,43
KLA,TC,169,43
KLA,TC,135,43
KLA,TC,124,44
KLA,TC,94,44
KLA,TC,130,44
KLA,TC,118,44
KLA,TC,152,44
KLA,TC,160,45
KLA,TC,170,45
KLA,TC,117,45
KLA,TC,154,45
KLA,TC,147,45
KLA,TC,147,46
KLA,TC,146,47
KLA,TC,112,47
KLA,TC,153,48
KLA,TC,130,48
KLA,TC,141,49
KLA,TC,114,49
KLA,SC,104,49
KLA,TC,173,49
KLA,TC,132,49
KLA,TC,132,49
KLA,TC,116,50
KLA,TC,140,51
KLA,TC,144,51
KLA,TC,132,52
KLA,TC,163,52
KLA,TC,152,52
KLA,SC,144,52
KLA,TC,150,54
KLA,SC,131,55
KLA,PL,147,55
KLA,TC,151,58
KLA,TC,162,58
KLA,TC,178,60
KLA,PL,200,63
KLA,TC,177,71
TYE,TC,122,36
TYE,TC,107,35
TYE,TC,109,35
TYE,TC,112,35
TYE,TC,117,35
TYE,TC,117,35
TYE,TC,132,35
TYE,TC,137,35
TYE,TC,141,35
TYE,TC,159,35
TYE,TC,168,35
TYE,TC,175,35
TYE,TC,95,36
TYE,TC,155,37
TYE,TC,109,36
TYE,TC,152,34
TYE,TC,137,36
TYE,TC,138,36
TYE,TC,145,36
TYE,TC,145,36
TYE,TC,152,36
TYE,TC,165,36
TYE,TC,89,37
TYE,TC,91,37
TYE,TC,94,37
TYE,TC,101,37
TYE,TC,113,37
TYE,TC,127,32
TYE,TC,162,33
TYE,TC,127,42
TYE,TC,148,32
TYE,TC,175,32
TYE,TC,89,33
TYE,TC,102,33
TYE,TC,109,33
TYE,TC,117,33
TYE,TC,118,33
TYE,TC,132,33
TYE,TC,143,33
TYE,TC,145,33
TYE,TC,145,33
TYE,TC,107,35
TYE,TC,142,34
TYE,TC,161,37
TYE,TC,152,34
TYE,TC,150,34
TYE,TC,143,34
TYE,TC,142,34
TYE,TC,147,33
TYE,TC,142,34
TYE,TC,155,33
TYE,TC,130,34
TYE,TC,126,34
TYE,TC,122,34
TYE,TC,106,34
TYE,TC,180,33
TYE,TC,157,34
TYE,TC,142,34
TYE,TC,127,41
TYE,TC,122,40
TYE,TC,142,40
TYE,TC,146,40
TYE,TC,152,40
TYE,TC,152,40
TYE,TC,153,40
TYE,TC,163,40
TYE,TC,173,40
TYE,TC,188,40
TYE,TC,76,41
TYE,TC,109,41
TYE,TC,117,37
TYE,TC,122,41
TYE,TC,216,39
TYE,TC,132,41
TYE,TC,133,41
TYE,TC,141,41
TYE,TC,150,41
TYE,TC,152,41
TYE,TC,175,41
TYE,TC,180,41
TYE,TC,99,42
TYE,TC,109,42
TYE,TC,110,42
TYE,TC,116,42
TYE,TC,117,42
TYE,TC,121,42
TYE,TC,114,41
TYE,TC,144,38
TYE,TC,172,37
TYE,TC,180,37
TYE,TC,183,37
TYE,TC,88,38
TYE,TC,102,38
TYE,TC,103,38
TYE,TC,122,38
TYE,TC,127,38
TYE,TC,127,38
TYE,TC,130,38
TYE,TC,135,38
TYE,TC,139,38
TYE,TC,141,38
TYE,TC,113,40
TYE,TC,123,39
TYE,TC,122,32
TYE,TC,203,39
TYE,TC,160,39
TYE,TC,142,39
TYE,TC,141,39
TYE,TC,141,38
TYE,TC,141,38
TYE,TC,114,39
TYE,TC,104,39
TYE,TC,219,38
TYE,TC,165,38
TYE,TC,149,38
TYE,TC,96,40
TYE,TC,137,39
TYE,TC,141,21
TYE,TC,155,18
TYE,TC,79,19
TYE,TC,105,19
TYE,TC,132,19
TYE,TC,85,20
TYE,TC,97,20
TYE,TC,109,21
TYE,TC,107,17
TYE,TC,82,22
TYE,TC,97,22
TYE,TC,102,22
TYE,TC,106,22
TYE,TC,125,22
TYE,TC,137,22
TYE,TC,91,23
TYE,TC,94,23
TYE,TC,99,23
TYE,TC,136,32
TYE,TC,99,20
TYE,TC,98,11
TYE,TC,91,24
TYE,TC,86,16
TYE,TC,146,28
TYE,TC,94,29
TYE,TC,94,29
TYE,TC,114,29
TYE,TC,122,29
TYE,TC,127,29
TYE,TC,130,29
TYE,TC,159,29
TYE,TC,196,29
TYE,TC,104,30
TYE,TC,121,30
TYE,TC,140,23
TYE,TC,130,30
TYE,TC,107,28
TYE,TC,145,30
TYE,TC,180,30
TYE,TC,197,30
TYE,TC,83,31
TYE,TC,110,31
TYE,TC,114,31
TYE,TC,120,31
TYE,TC,122,31
TYE,TC,124,31
TYE,TC,132,31
TYE,TC,193,31
TYE,TC,90,32
TYE,TC,106,32
TYE,TC,127,30
TYE,TC,109,26
TYE,TC,94,24
TYE,TC,104,24
TYE,TC,109,24
TYE,TC,84,25
TYE,TC,99,25
TYE,TC,114,25
TYE,TC,134,25
TYE,TC,141,25
TYE,TC,148,25
TYE,TC,150,25
TYE,TC,142,28
TYE,TC,100,27
TYE,TC,127,40
TYE,TC,95,28
TYE,TC,138,27
TYE,TC,119,27
TYE,TC,115,27
TYE,TC,108,27
TYE,TC,108,26
TYE,TC,81,27
TYE,TC,124,26
TYE,TC,115,26
TYE,TC,110,26
TYE,TC,127,28
TYE,TC,114,27
TYE,TC,84,51
TYE,TC,177,49
TYE,TC,180,49
TYE,TC,182,49
TYE,TC,125,50
TYE,TC,135,50
TYE,TC,140,50
TYE,TC,146,50
TYE,TC,150,50
TYE,TC,157,50
TYE,TC,161,50
TYE,TC,170,50
TYE,TC,183,47
TYE,TC,172,50
TYE,TC,156,49
TYE,TC,107,51
TYE,TC,150,51
TYE,TC,153,51
TYE,TC,161,51
TYE,TC,161,51
TYE,TC,170,51
TYE,TC,180,51
TYE,TC,132,52
TYE,TC,152,52
TYE,TC,171,52
TYE,TC,200,52
TYE,TC,213,52
TYE,TC,171,50
TYE,TC,185,48
TYE,TC,189,47
TYE,TC,193,47
TYE,TC,129,48
TYE,TC,130,48
TYE,TC,132,48
TYE,TC,142,48
TYE,TC,144,48
TYE,TC,149,48
TYE,TC,152,48
TYE,TC,159,48
TYE,TC,168,48
TYE,TC,170,48
TYE,TC,159,49
TYE,TC,181,48
TYE,TC,122,40
TYE,TC,190,48
TYE,TC,190,48
TYE,TC,89,49
TYE,TC,104,49
TYE,TC,108,49
TYE,TC,135,49
TYE,TC,137,49
TYE,TC,142,49
TYE,TC,150,49
TYE,TC,152,49
TYE,TC,133,42
TYE,TC,142,53
TYE,TC,178,48
TYE,TC,196,61
TYE,TC,122,53
TYE,TC,165,57
TYE,TC,190,57
TYE,TC,229,57
TYE,TC,147,58
TYE,TC,172,58
TYE,TC,185,59
TYE,TC,202,59
TYE,TC,127,60
TYE,TC,183,60
TYE,TC,191,60
TYE,TC,152,61
TYE,TC,130,57
TYE,TC,175,61
TYE,TC,190,56
TYE,TC,203,61
TYE,TC,140,62
TYE,TC,224,62
TYE,TC,122,63
TYE,TC,243,64
TYE,TC,147,65
TYE,TC,188,65
TYE,TC,170,66
TYE,TC,209,66
TYE,TC,160,67
TYE,TC,246,67
TYE,TC,177,69
TYE,TC,160,61
TYE,TC,168,54
TYE,TC,152,49
TYE,TC,147,53
TYE,TC,149,53
TYE,TC,161,53
TYE,TC,168,53
TYE,TC,173,53
TYE,TC,180,53
TYE,TC,197,53
TYE,TC,199,53
TYE,TC,91,54
TYE,TC,130,54
TYE,TC,134,54
TYE,TC,155,57
TYE,TC,158,54
TYE,TC,138,53
TYE,TC,170,54
TYE,TC,135,55
TYE,TC,146,55
TYE,TC,147,55
TYE,TC,163,55
TYE,TC,164,55
TYE,TC,178,55
TYE,TC,193,55
TYE,TC,196,55
TYE,TC,114,56
TYE,TC,143,56
TYE,TC,171,56
TYE,TC,152,54
TYE,TC,159,43
TYE,TC,155,46
TYE,TC,160,46
TYE,TC,175,46
TYE,TC,185,46
TYE,TC,88,44
TYE,TC,120,47
TYE,TC,160,43
TYE,TC,141,45
TYE,TC,135,44
TYE,TC,142,43
TYE,TC,148,46
TYE,TC,137,45
TYE,TC,142,43
TYE,TC,153,44
TYE,TC,135,46
TYE,TC,135,44
TYE,TC,106,46
TYE,TC,127,44
TYE,TC,117,46
TYE,TC,137,44
TYE,TC,152,46
TYE,TC,180,45
TYE,TC,140,45
TYE,TC,164,45
TYE,TC,137,44
TYE,TC,144,44
TYE,TC,113,44
TYE,TC,147,44
TYE,TC,118,47
TYE,TC,134,46
TYE,TC,135,42
TYE,TC,109,45
TYE,TC,120,47
TYE,TC,154,47
TYE,TC,114,47
TYE,TC,163,42
TYE,TC,157,42
TYE,TC,154,47
TYE,TC,188,44
TYE,TC,173,47
TYE,TC,106,45
TYE,TC,160,47
TYE,TC,160,47
TYE,TC,170,47
TYE,TC,170,47
TYE,TC,141,42
TYE,TC,164,42
TYE,TC,159,44
TYE,TC,160,44
TYE,TC,167,42
TYE,TC,132,47
TYE,TC,182,44
TYE,TC,133,47
TYE,TC,153,47
TYE,TC,150,47
TYE,TC,187,44
TYE,TC,164,42
TYE,SC,198,54
TYE,SC,201,53
TYE,SC,130,40
TYE,SC,103,40
TYE,SC,154,55
TYE,SC,107,54
TYE,SC,79,25
TYE,SC,139,61
TYE,SC,124,43
TYE,SC,156,62
TYE,SC,188,63
TYE,SC,188,40
TYE,SC,239,63
TYE,SC,144,42
TYE,SC,124,42
TYE,SC,127,42
TYE,SC,137,70
TYE,SC,193,62
TYE,SC,152,40
TYE,SC,238,43
TYE,SC,121,44
TYE,SC,145,40
TYE,SC,160,57
TYE,SC,252,44
TYE,SC,112,44
TYE,SC,108,39
TYE,SC,107,20
TYE,SC,142,46
TYE,SC,156,47
TYE,SC,188,34
TYE,SC,166,36
TYE,SC,182,50
TYE,SC,143,30
TYE,SC,163,30
TYE,SC,107,38
TYE,SC,183,29
TYE,SC,140,46
TYE,SC,140,48
TYE,SC,155,47
TYE,SC,123,36
TYE,SC,152,48
TYE,SC,131,34
TYE,SC,118,37
TYE,SC,151,49
TYE,SC,142,49
TYE,SC,123,33
TYE,SC,121,49
TYE,SC,170,34
TYE,SC,130,39
TYE,SC,123,26
TYE,SC,194,47
TYE,SC,145,53
TYE,SC,136,45
TYE,SC,77,28
TYE,SC,154,38
TYE,SC,130,52
TYE,SC,147,29
TYE,SC,201,51
TYE,SC,147,38
TYE,SC,147,45
TYE,SC,145,52
TYE,SC,107,35
TYE,PL,180,48
TYE,PL,167,42
TYE,PL,130,66
TYE,PL,127,62
TYE,PL,133,75
TYE,PL,193,41
TYE,PL,152,71
TYE,PL,127,47
TYE,PL,131,42
TYE,PL,152,70
TYE,PL,159,34
TYE,PL,166,48
TYE,PL,180,74
TYE,PL,93,35
TYE,PL,104,15
TYE,PL,104,38
TYE,PL,141,54
TYE,PL,79,39
TYE,PL,122,53
TYE,PL,173,54
TYE,PL,178,79
TYE,PL,124,29
TYE,PL,183,45
TYE,PL,83,38
TYE,PL,121,38
TYE,PL,98,34
TYE,PL,140,50
TYE,PL,101,26
TYE,PL,97,38
TYE,PL,109,45
TYE,PL,107,58
TYE,PL,137,58
TYE,PL,138,37
TYE,PL,216,43
TYE,PL,107,47
TYE,PL,111,47
TYE,PL,117,61
TYE,PL,84,37
TYE,PL,158,56
